Name,About,Website
"
frestyl
","
 Promote and discover music events
frestyl’s web application allows music promoters and venues to quickly import their event calendar and instantly create interactive event pages with videos, photos and music. To engage a larger audience, organizers pay to add special offers to their upcoming events ...",http://frestyl.com
"
Epiclist
","
 Explore the world. Everywhere. Anytime.
Pain:
In the growing jungle of information, travel discovery is more fragmented and broken than ever before! An average person spends 29 hours, browsing through 21 websites in average, to compile just 1 trip itinerary.
Solution:
Epiclist is a simple and beautiful ...",http://www.epiclist.io
"
Fyber
","
 
Fyber (formerly SponsorPay) is a leading advertising technology company that empowers app developers to execute smart ad monetization strategies across all connected devices through a unified mobile supply side platform.
Serving approximately 150 million unique ...",http://www.fyber.com
"
bonusbox
","
 A loyalty & incentive platform helping marketers to acquire, retain and target customers.
The costs to acquire a customer have been skyrocketing. At the same time it's becoming increasingly challenging in today's digital world to retain customers and users. bonusbox is a loyalty and incentive platform helping digital marketers to acquire, retain and ...",http://www.bonusbox.me
"
KptnCook
","
 HotelTonight for Recipe discovery
KptnCook is the habit-changing app for recipe discovery.
KptnCook App:
https://itunes.apple.com/us/app/kptncook-kptncook-be-your/id795495986?mt=8
KptnCook is a mobile app that offers you three new healthy recipes everyday paired with real products and prices from ...",http://www.kptncook.com
"
Re2you
","
 No Upload and Download - Just Drag and Drop Content/ Data ( Patents Filed )
the ecosystem of all apps and devices-
one for all Apps and Devices- no up and downloads and the first time uniting all OS and all devices to users need! Samsung/ IOS/ Androide/ Sony/ Phillips/ HTC/ Huwai/ Nokia- it dosen#t matter- it is a ecossystem of all apps-",https://www.facebook.com/Re2youcom?notif_t=page_new_likes
"
Versus
","
 Machine & User Generated Comparisons of Anything
- Growing by 35% per month
- 3M unique users, 30% mobile
- World-wide audience, 18 languages, most social activity than any other comparison site
- $3.8M raised w/Earlybird, 500 Startups, JMES, HTGF",http://versus.com
"
NUMBER26
","
 Europe's most modern bank account 
NUMBER26 is Europe's most modern current account and the first one you can fully manage using your smartphone.
You get a fully-fledged bank account protected by the German Deposit Protection Fund, a MasterCard® and an intuitive mobile & online banking experience ...",http://www.number26.de
"
Ubertweek
","
 Social data driven discovery for entertainment industries
The Tweek showcase App offers a personalised, cross service video discovery for German iPad and iPhone users. Since its' launch in March 2012, the App offers an instantly personalised discovery of 200k+ movies and 50k+ tv shows, 7 day tv schedule and catchup TV. ...",http://www.tweek.tv
"
Crowdpark
","
 Social Casino Games - Facebook and Mobile
Crowdpark is pioneering social casino games, on multiple platforms including the web, on Facebook, and mobile.
Combining the popular casino classics with the best in modern slots and games technology, there is something for everyone to enjoy in Golden Empire Casino. ...",http://www.crowdpark.com
"
Vamos - The Event Guide
","
 www.getvamos.com
Vamos is an easy to use event guide that helps you gaining access to the most interesting events in your city. You can find everything from Art & Entertainment, Food & Drinks, Fashion to Club events, easily share them with your friends and follow your favorite ...",http://www.getvamos.com
"
Friendsurance
","
 Making insurance social again
Friendsurance takes a new approach towards insurance: for the first time, we have implemented the concept of a online peer-to-peer insurance, which combines social networks with well established insurance companies. Customers can connect to form individual insurance-networks, ...",http://www.friendsurance.de
"
Fashionism
","
 Location-Based Shopping
Fashionism is a location-based fashion guide that lets you share and discover fashion around you. Follow your favourite brands, stores and fashion icons. Fashionism makes discovering fashion around you as easy as browsing an online store.
- Lets users share fashion ...",http://www.fashioni.sm
"
Dustcloud
","
 TERMINATOR VISION
We're building a first person shooter game for wearable computing.
Think laser tag in the street. With headset graphics. www.thedustcloud.com",http://www.thedustcloud.com
"
BookitNow!
","
 Mobile Last-Minute Hotel Booking
With BookitNow! you can spontaneously book a hotel for tonight. Every day we offer you handpicked hotels with last minute discounts! Book a room in only 10 seconds. Always the perfect hotel in your pocket!
Your benefits with BookitNow!:
- Last-Minute Prices
- ...",http://www.bookit-now.com
"
Sidestage
","
 Instantly book an amazing, local musician
Sidestage is a marketplace for discovering and booking musicians, bands and DJs. 
Whether a techno DJ, a string quartet, or an indie rock band, Sidestage connects people to local musicians, at any price point. 
Sidestage is the easiest way for musicians, bands ...",http://sidestage.com
"
Urlist
","
 Sort your Web
The Web is the world’s largest library, it’s just that all the books are on the floor. To tidy up this mess, everyone should have the power to curate his/her corner of the Web. That’s why we are building the best platform for collecting, organizing and sharing ...",http://urli.st/
"
Axel Springer
","
 
",http://www.axelspringer.de/
"
Researchgate
","
 
",https://www.researchgate.net
"
UFOstart AG
","
 Crowdsourcing lean startups with investors and experts and customers.
",http://www.ufostart.com
"
Waymate
","
 Waymate makes booking travel simple and fun.
Waymate lets you compare and book your trip by train, bus, ridesharing or plane quickly and easily, all in one simple elegant interface.",https://www.waymate.de
"
Toywheel
","
 Empowering Kids Through Games | >100K downloads | http://j.mp/itoywheel
Toywheel makes games and tools that empower future generations to develop creativity, curiosity and courage.
Our first mobile app, Toy Car RC (free version) / Toy Drive (paid version), uses the latest augmented reality technology to enable kids aged 6+ to follow ...",http://www.toywheel.com
"
adjust by adeven
","
 Business intelligence for apps. The most advanced app download tracking tool available.
Mobile marketing just got smart
We are an intelligent mobile analytics company, built from the ground up to enable publishers, developers and app marketers understand and optimize effective campaigns in real time.
The adjust.io analyzer goes beyond tracking clicks ...",https://www.adjust.com
"
EvoMob
","
 A cloud platform to create compelling smartphone- and tablet-optimized web shops
EvoMob is a platform to easily convert online shops to mobile shops.
Using our platform, we can convert any online shop* - independent of shop technology - into a touch-optimized mobile web shop, which immediately generates conversion rate and revenue uplift on ...",http://www.evomob.com
"
G+B (green plus blue)
","
 intelligent reference marketing goes match making 
Reference Google for House owners...Facebook for SME
We define reference marketing in a new way. The more references the higher the chances to get new deals via our platform. That engages companies at a RELEVANT social media level.
Our match making engine selects ...",http://www.gplusb.com
"
Microsoft Ventures Accelerator Berlin
","
 A 4-months mentoring and training program for early stage startups in Berlin.
For promising early-stage startups, the Microsoft Ventures Accelerator is an immersive 4 months mentoring and training program. You will have access to top-notch business mentorship, technical training and support and the opportunity to present to and network with ...",https://www.microsoftventures.com/accelerators/berlin
"
StylesClub
","
 Shop fashion on Facebook
StylesClub personalizes fashion eCommerce using Facebook data.
Two products:
1. Marketplace - Every fashion store with a Facebook fanpage can join and offer its products. Users discover new products and receive exclusive coupons. Everything is personalized to ...",http://www.stylesclub.com
"
Hoard
","
 Your local drop box!
Hoard is developing the first Network of smart storage locations to help people to exchange physical things with others!
From now on people that rent out their apartment (e.g. on Airbnb) can manage the access for guests and cleaners from anywhere with smartphone ...",http://www.hoardspot.com
"
Clue
","
 Digital female health
Clue is a beautifully designed mobile app that enables women to effectively track their cycle. Whether they want to get pregnant, be prepared for their next period or monitor their mood swings, Clue helps women understand their unique pattern and have autonomy ...",http://www.helloclue.com
"
Jobspotting
","
 Discovery engine for job opportunities
Jobspotting is a discovery engine for effortless and personalised job matching based on your skills and professional experiences. It offers intuitive exploration of relevant job offers, and improves with usage.
Going beyond basic categorisation, Jobspotting’s ...",http://jobspotting.com
"
ezeep
","
 Printing that just works.
ezeep is an innovative technology startup based in Berlin, Germany. Their print management tool offers a completely new printing experience that aims to change printing. The service utilizes cloud technology, which lets users manage printers and print documents ...",http://www.ezeep.com
"
GameDuell
","
 Bringing people together to have a good time with games
The passion for creating high-quality games and the focus on superior customer experience have made GameDuell one of the largest cross-platform games communities in the world. With more than 125 million registered players across all platforms the Berlin based company ...",http://inside.gameduell.com/
"
ShortBet
","
 The social graph for betting
ShortBet is a dynamic social game that allows users to create their own bets on any topic, at anytime, anywhere and on any device. Leveraging high end social game mechanics and logics, players also get incentivized by honor, status, badges and real goods.",http://company.shortbet.com
"
Toast
","
 Collaborate with your best friends to discover and buy great gifts
Toast is a wish fulfillment engine. We make sure your friends and family give you exactly what you want as gifts and give you an easy way to do the same for them.",http://www.giveatoast.com
"
1SDK Inc.
","
 Attribution Analytics and In-App Monetization for App and Game developers via a single SDK
1SDK is a SaaS Platform for mobile App/Game developers enabling Attribution Analytics and Monetization via a single SDK.
With this single SDK App developers can:
1. Attribute App installs to specific Mobile Ad campaign clicks from end-users
2. Increase distribution
Grow ...",http://www.1sdk.com
"
Bookletmobile
","
 A new way to combine mobile content with mobile advertising
On mobile devices there is not enough space for the traditional banner ads well known from the good old desktop web. We think it’s time for a visually attracting mobile platform where consumers and businesses alike love to express themselves.
Think of a portable ...",http://bookletsworld.com
"
Listgeeks
","
 Innovative, list-based social recommendation web app
Listgeeks (http://listgeeks.com) is a place to create, share and compare lists of things in a unique and profoundly community-oriented environment. Our unique interface allows people to quickly compile lists of items by dragging and dropping them from lists created ...",http://listgeeks.com
"
Rivalfox
","
 Monitor Competitors. Create Opportunity.
Rivalfox is a service that constantly monitors the activity of your competitors, and gives you comprehensive reports on their activity with actionable business intelligence. Replace your team's tedious manual competitor tracking process with on-demand reports and ...",http://www.rivalfox.com
"
ChatLingual
","
 Connect instantly with anyone, anywhere regardless of language.
We're changing the way people connect with each other globally.
ChatLingual is a web-based, instant messaging service that enables you to communicate in any language instantly through chat.
With that said, we're not building a chat company; there's a bigger ...",http://www.ChatLingual.com
"
Club GLOBALS
","
 Mobile Expat Community Marketplace: Solutions, Events & Members
Premier Expat ""Community Marketplace"", making international living easy by connecting expatriates with recommended service providers online and at local events.
Supporting the growing trend of mobility for professional expatriates (+56m worldwide) by connecting ...",http://www.clubglobals.com
"
KeyRocket
","
 Master Keyboard Shortcuts
KeyRocket teaches you to use keyboard shortcuts. It informs you, via a subtle notification, when you could have used a shortcut instead of a series of mouse actions. For instance, to copy something to the clipboard, you might first go to the ‘Edit’ menu and then ...",http://www.veodin.com/keyrocket/
"
Navegas Media UG
","
 Connecting the world of music!
Navegas is connecting the world of music. Combine *already* the music on your PC with everything you have and find on YouTube and SoundCloud, and expect more modules for other sources, services and our own social features (Navegas Live, Vibe, Crowd and Play) to ...",http://www.naveg.as
"
orderbird
","
 orderbird is the iPad Point of Sale System for the gastronomy
orderbird POS is a complete POS solution that is ideal for bars, restaurants and cafes. It will send waiter’s orders wireless to the kitchen and will provide customized and detailed reports.
The system operates via WiFi with pre-configured printers that are availible ...",http://www.orderbird.com
"
stylemarks
","
 your marketplace for the best in vintage, fashion & design.
stylemarks is a mobile app that connect users with upcoming labels and designers to discover and buy unique design products. Anytime. Anywhere. Our vision is to discover and explore new possibilities of peer to peer commerce through mobile technology. We want to ...",http://www.stylemarks.de
"
qLearning
","
 Mobile exam-preparation & recruiting platform
We are a young startup in the mobile learning sector and our goal is to bring learning into the 21st century by offering university students targeted learning materials in a mobile app.
Course materials can be reviewed via multiple choice questions, the exam ...",http://www.qlearning.de
"
Hive
","
 User-friendly Bitcoin wallet for multiple platforms
Hive is an easy to use wallet that helps onboard people into Bitcoin in just a few easy steps. With its built-in ""Bitcoin App Store"", users can discover the best of Bitcoin merchants, games and services.",http://hivewallet.com
"
Bitbond
","
 Global bitcoin peer-to-peer lending
Bitbond is a bitcoin peer-to-peer lending platform. Our mission is to make financing and fixed income investing globally accessible.
Borrowers publish bitcoin loan requests after they received a creditworthiness appraisal (rating). Lenders review the loan requests ...",https://www.bitbond.com
"
Maker Cloud
","
 Online Platform 4 Small Batch Manufacturing
Maker Cloud is the online destination for small batch manufacturing. (currently with a strategic focus on Made in Germany)
Our mission is to enable anyone to succeed in small batch manufacturing: makers, inventors, startups and also more traditional industry clients.
Maker ...",http://www.makercloud.io
"
traction.io
","
 Simple rules engine that makes SaaS tools work together
",http://traction.io
"
Capsule.fm
","
 Personal audio-stream
Capsule.fm is creating audio narratives from your online content like news, weather, social media and - well - pretty much anything you would normally read online. It's listening to your personalised online content in a live, interactive audio experience for when ...",http://capsule.fm
"
PlugSurfing
","
 AirBnB for EV charging
PlugSurfing is the solution to finding electric car charging points & barrier free payment for EV charging. By merging multiple data sources, including real-time APIs direct from charging point providers, as well as static crowdsourced data from the charging point ...",http://www.plugsurfing.com
"
Madvertise
","
 
",http://www.madvertise.de/
"
Refined Investment
","
 automated trading as a service
Refined Investment is a Fin Tech startup. With up to 25,000 trades and 100 mm trading volume per month we are the leading platform in automated online trading in DACH.
With 100k EUR in 52 minutes and 350k EUR in 9 hours collected on the leading German crowdinvesting ...",http://www.refinedinvest.com
"
PaperC
","
 The Spotify for Textbooks
PaperC.com is a cloud-based platform for higher education ebooks. Our service aims at students, young professionals and corporates. Users have the opportunity to preview up to 10 % of the entire ebook per month for free. PaperC does not just sell the whole ebook, ...",http://www.paperc.com
"
HIGH MOBILITY
","
 Building a platform for the Internet of (Connected Car) Things.
We are building a car-centric platform that works on a pre-set rules for how things and cars connect.
We do that by integrating value chains - through our Car To Wearable Kit, APIs give things the trustworthiness to independently interact with the connected car.
On ...",http://www.high-mobility.com
"
Startup Nomads
","
 We build together.
Startup Nomads is a platform that builds in a collaborative way new ventures and offers crowdsourced services to tech businesses around the world.",http://www.startupnomads.com
"
Opin
","
 Forget passwords.
Opin is getting rid of the password on the web. Opin turns your smartphone into a key that gives you access to websites, internal company networks and other areas that uses our unique authentication system.
With Opin, devastating password leaks, compromised accounts ...",http://useopin.com
"
OneLife.me
","
 Personalized health companion
Enabled by an intelligent cloud solution, OneLife allows users to intuitively track daily conditions and receive real-time feedback. Furthermore, OneLife seeks to shift certain aspects of the patient doctor relationship into the digital channel to improve the quality ...",http://www.onelife.me/en-onelife-family/
"
MT Performance
","
 Content and Advertising network for Latin America
MT Performance operates a network of online magazines across Latin America with a focus on the female and fashion sector, i.e. www.calcados.com (Portuguese for Shoes.com). Readers can not only find the latest tips and trends but also purchase the products they ...",http://www.admire.com.br
"
Marley Spoon
","
 Bringing delightful, market fresh and easy cooking back to the people. 
Marley Spoon chefs create inspiring and mouthwatering recipes every week. You select what you would like to cook (no subscription) and we deliver the recipes and all the ingredients you need.
Marley Spoon brings healthy, market fresh and easy cooking back to ...",http://www.marleyspoon.com
"
7Moments
","
 Easy Group Photo Sharing
7Moments the best way to privately exchange photos with your friends and family. Perfect for photos you want to share with an explicit group of people like your family or friends. Just create an album an invite people to view, add and love photos. No group management, ...",http://www.7moments.com
"
SpaceWays
","
 Storage made Easy.
SpaceWays is a full service storage provider aiming to disrupt the storage industry by bringing technology into the game. Customers simply go to the SpaceWays' website then indicate how many storage boxes they need or which bulky items they want to store and SpaceWays’ ...",https://www.spaceways.com
"
Skysense
","
 Charging Station for UAVs
Skysense markets charging stations for the UAV/Drones industry to enable remote-managed operations and automation. The Skysense Charging Pad can be remotely operated and provides fast-charging to existing multicopters and VTOL aircrafts. The Skysense Droneport ...",http://www.skysense.de
"
Infernum
","
 Cross-platform online games
Infernum develops and publishes online games that can be played anytime anywhere (browser, social networks, smartphones, tablets). Infernum combines the advantages of social/mobile games (low entry barriers and huge reach) with the advantages of high-quality multiplayer ...",http://www.infernum.com
"
Hackidemia
","
 Mobile invention labs for kids 
Hackidemic kit + online platform for hands-on workshops for new technologies, science, art and crafting ment to encourage kids (6-16) to learn by doing and by playing.",http://www.hackidemia.com
"
favor.it
","
 making local businesses mobile
FAVOR.IT is a young and ambitious mobile startup building a revolutionary local commerce platform and mobile app.
Our vision is to build mobile products that successfully bring customers and their favorite local businesses closer together, to re-instill a sense ...",http://www.favor.it
"
JUNIQE
","
 Art. Everywhere. // JUNIQE is the number one destination for affordable art
JUNIQE is the online shop for fresh art, apparel and accessories. It offers a handpicked selection of artworks by independent artists printed on various products, such as posters, canvases, acrylic glass, T-shirts, sweaters, tech cases, stationery, and home accessories. ...",http://www.juniqe.com
"
Scarosso
","
 Mass Custimzed Shoes Male/Female
“SCAROSSO stands for
high quality shoes “handmade in Italy” offering
customers the ability to design their own bespoke
shoes online.”",http://www.scarosso.com
"
CINEPASS
","
 Disrupting cinemas
CINEPASS is the “Just Eat” for movie tickets and brings cinemas on a cross-theater booking platform and iOS App. In the past 50 years there was a lack of innovation in the European movie theater market worth €20Bn. We are disrupting the online sale of movie tickets ...",http://www.cinepass.de
"
Caspian Robotics
","
 Augmenting Homo sapiens
Caspian develops a technological platform targeted at the Commercial & Civil UAV (Unmanned Aerial Vehicle) market. Its products will provide greater safety & autonomy for unmanned operations (e.g. Industrial inspection) together with a highly intuitive user experience.",http://Caspian.NiNJA
"
Credport
","
 PayPal for Trust in Marketplaces
Credport helps you to instantly build a trust wherever you go. We also offer a simple yet powerful API for peer to peer marketplaces.",https://www.credport.org/
"
Moped
","
 Cross-platform messaging app (Acquired by 6Wunderkinder)
Cross-platform messaging app that integrates with Foursquare, Dropbox & IFTTT.",http://moped.com
"
Wirkaufens
","
 
",http://www.wirkaufens.de
"
Zanox
","
 
We offer advertisers and publishers the best products and services to boost their online business on a performance basis. Optimise your ROI. Join zanox!",http://www.zanox.com
"
GoEuro
","
 
Imagine the ability to buy every rail, bus and plane ticket in Europe on your phone with a click of a button. At GoEuro, we are changing the way you can find and book your best travel options throughout Europe. Wherever you are and wherever you want to go, we've ...",http://www.GoEuro.com
"
Milk the Sun
","
 The European marketplace for photovoltaic projects and installations
Milk the Sun is a pan-European online marketplace that allows buyers and sellers in the photovoltaic industry to search, browse and connect with other PV market participants who are looking to buy, sell or develop solar projects.
Our online platform allows users ...",http://www.milkthesun.com
"
TRAN.SL
","
 The fastest professional translation tool
TRAN.SL provides high quality human translation in the 10 most common languages in the web. With over 1400 trained translators all over the world operating around the clock, company is able to deliver the translations within one hour. We have customers who use ...",https://tran.sl
"
Plazes
","
 
",http://plazes.com/
"
Socius
","
 Transform social media into a premium brand experience
Socius re-invents social media for brand communication with a premium tool consisting of two parts:
1. Webapp Content Management System for identifying, collecting and measuring social content
2. A front facing display tool to seamlessly integrate this social ...",http://www.sociuslive.com
"
Barzahlen.de
","
 Bringing cash online
Sry for the German V.
With Barzahlen consumers can buy online and make payments with cash at thousands of stores nationwide.
Here’s how Barzahlen works. With participating online shops, consumers can use the Barzahlen option to pay for purchases owed. You simply ...",http://www.barzahlen.de
"
Klara
","
 Consulting a dermatologist has never been simpler
Klara is the future of teledermatology. Klara enables a secure communication between patients and dermatologists - before, during and after treatment. Patients photograph their skin problems, answer a short questionnaire (developed in collaboration with university ...",http://www.klara.com
"
trecker.com
","
 Modern SaaS for farm administration
trecker.com is a SaaS platform for the agriculture industry. Farmers and Farm contractors can use it to manage their business and cover all their administrative needs.",http://www.trecker.com
"
PicsaStock
","
 Upload and sell your photos to millions
PicsaStock gives millions of photographers an easy way to sell their photos to global companies and to receive direct assignments.
Video: https://www.youtube.com/watch?v=0-DljjjhK2s",http://www.picsastock.com
"
gigmit.com
","
 live booking turn key solution
gigmit - makes live better.
Discover and book thousands of successful live acts. From all over the world. From every genre. For your event.
Makes your event a success
gigmit offers you the best possible service. Our promoter support team will help you find the ...",https://www.gigmit.com
"
mobinco - makes your life easier
","
 mint.com online banking for contracts
mobinco deals with the idea that all contracts and policies can be managed online, paperless and centrally in one application, automatically without the intervention of third parties. For the Parties of KISS this digitization mean significant cost savings, because ...",http://www.mobinco.co
"
Loopcam
","
 Animated loops, gifs and lol.
We let people express themselves and share moments in a unique way using short gif-based video clips called loops. And it's pretty lol.",http://loopc.am
"
Productive Mobile
","
 Making People more Productive. At Scale.
Today, for an enterprise to go mobile - that is, to upgrade their internal systems for mobile devices - is extremely complex, very costly, and takes a lot of time.
We've built a platform to convert enterprise applications to mobile, in minutes. It consists of ...",http://productivemobile.com
"
Mister Spex
","
 
",http://misterspex.de
"
Txtr
","
 
txtr is an e-books store with more than 1 million titles available. Download bestsellers, classics and free e-books and read them with the free txtr App.",http://txtr.com
"
50HOURS
","
 Your last-minute ticket App
Find Your Event
With 50HOURS you’ll always know when and where the coolest events are going on in your city. Choose your event from genres such as music, sports, shows or culture – clear and simple.
Invite Your Friends
In fact, even the most amazing events will ...",http://50hours.com
"
ChartMogul
","
 Advanced subscription analytics
ChartMogul helps subscription businesses calculate and understand their recurring revenue metrics.
This could be a SaaS, monthly gift-box or media subscription – any company that has recurring revenue.
We support one-click integration into Stripe, Braintree, ...",https://chartmogul.com/
"
Asuum
","
 Beautiful Content Monetization
Asuum is building beautiful instruments of content enrichment for premium publishers such as GQ, Forbes or Vogue.",http://www.asuum.com
"
Ding Dong
","
 Keep in touch. Simple.
Messaging is a burden. Keep it simple with Ding Dong: one button to tell your friends where you are, what you're doing and how you feel.
‟A poking app on steriods”
‟If Foursquare, Whatsapp and Instagram had a lovechild, it would look like Ding Dong.”
‟It's like ...",http://www.dingdongapp.com
"
tape.tv
","
 
",http://www.tape.tv/
"
Alive
","
 the best way to achieve your goals
the best way to achieve your goals - simple, social, motivating.
We're hiring: http://alive.do/opportunities",http://alive.do
"
brokenmusic
","
 brokenmusic is the first marketplace for online audio and music production globally. 
We are a Berlin-based startup company rethinking the way musicians get in touch with recording studios and sound engineers. Producing music and audio shouldn’t be worrying about scheduling, payment or uncertainty. That is why our team has come up with a slick solution ...",http://www.brokenmusic.com
"
Klash
","
 Mobile application for fun challenges and dares
Create unforgettable moments with friends in a ‘One vs. One Klash’ or prove yourself in a ‘Me against the World Klash’.
Get the support of your friends and share the excitement. Prove your success instantly with pictures from wherever you are and win the “KLASH”.
Check ...",https://www.klashapp.com
"
DaWanda
","
 
",http://en.dawanda.com/?partnerid=GA2-DaWanda
"
Stilnest
","
 Publisher of Jewelry and Design Products (3D Printed)
Stilnest offers designer jewelry made by artists worldwide. Each week a new collection of hand-picked designs is released to add to the broad portfolio. Stilnest additionally crafts an excellent customer experience with unique content of the designer, his products ...",http://www.stilnest.com
"
GruvIt
","
 Marketplace for musicians booking (like Airbnb for music)
GruvIt is the Social Marketplace that lets people book bands, musicians and DJs for event. GruvIt is the Airbnb for Music Booking.
Thanks to our model every person becomes a possible venue for musicians to perform live and make a living with their music. GruvIt ...",http://www.gruvit.com
